Pair,Trading ID,Trading Time,Timestamp(ms),Trading Type,Trading Price,Trading Amount,Trading Cost,PnL,Fee
BTC/USDT:USDT,958994817,2024-08-01 00:31:47.771,1722443507771,buy,66511.4,3.0,1995.342,0.3131538461538462,-0.1995342
BTC/USDT:USDT,959237852,2024-08-01 03:30:16.181,1722454216181,sell,65771.3,1.0,657.713,0,-0.0657713
BTC/USDT:USDT,959376531,2024-08-01 04:05:16.088,1722456316088,sell,65372.7,2.0,1307.454,0,-0.1307454
BTC/USDT:USDT,959463372,2024-08-01 04:35:16.637,1722458116637,sell,64684.9,2.0,1293.698,0,-0.1293698
BTC/USDT:USDT,959594519,2024-08-01 06:10:15.276,1722463815276,sell,64857.6,1.0,648.576,0,-0.0648576
BTC/USDT:USDT,960001072,2024-08-01 12:20:19.159,1722486019159,sell,63968.6,1.0,639.686,0,-0.0639686
BTC/USDT:USDT,960508033,2024-08-01 22:30:16.820,1722522616820,buy,64232.2,2.6,1670.0372,42.7985764705882353,-0.16700372
BTC/USDT:USDT,960508037,2024-08-01 22:30:17.108,1722522617108,buy,64232.2,0.4,256.9288,6.5843963800904977,-0.02569288
BTC/USDT:USDT,961555224,2024-08-02 06:35:17.870,1722551717870,buy,65550.8,2.0,1311.016,6.5499819004524887,-0.1311016
BTC/USDT:USDT,961611203,2024-08-02 07:25:15.183,1722554715183,buy,65076.7,1.0,650.767,8.0159909502262443,-0.0650767
BTC/USDT:USDT,961676852,2024-08-02 08:25:20.154,1722558320154,buy,65282.2,1.0,652.822,5.9609909502262443,-0.0652822
BTC/USDT:USDT,963014734,2024-08-02 23:20:17.453,1722612017453,sell,62873.1,1.6,1005.9696,0,-0.10059696
BTC/USDT:USDT,963014735,2024-08-02 23:20:17.463,1722612017463,sell,62873.1,1.4,880.2234,0,-0.08802234
BTC/USDT:USDT,963213830,2024-08-03 00:30:17.277,1722616217277,sell,63063.8,1.0,630.638,0,-0.0630638
BTC/USDT:USDT,963726552,2024-08-03 05:45:19.019,1722635119019,sell,62088.5,1.0,620.885,0,-0.0620885
BTC/USDT:USDT,963883515,2024-08-03 07:45:15.141,1722642315141,sell,61527.0,1.0,615.27,0,-0.061527
BTC/USDT:USDT,964000409,2024-08-03 09:05:37.990,1722647137990,sell,60933.0,0.6,365.598,0,-0.0365598
BTC/USDT:USDT,964000410,2024-08-03 09:05:37.990,1722647137990,sell,60933.0,0.4,243.732,0,-0.0243732
BTC/USDT:USDT,964165955,2024-08-03 10:26:17.034,1722651977034,sell,61331.1,1.0,613.311,0,-0.0613311
BTC/USDT:USDT,964381450,2024-08-03 16:20:14.838,1722673214838,sell,61580.2,1.0,615.802,0,-0.0615802
BTC/USDT:USDT,964585439,2024-08-03 23:01:12.375,1722697272375,buy,62000.1,1.1,682.0011,23.1138894974994046,-0.06820011
BTC/USDT:USDT,964585440,2024-08-03 23:01:14.601,1722697274601,buy,62000.1,0.9,558.0009,18.9113641343176947,-0.05580009
BTC/USDT:USDT,964680530,2024-08-03 23:55:23.007,1722700523007,buy,61097.0,1.0,610.97,30.0436268159085497,-0.061097
BTC/USDT:USDT,965464196,2024-08-04 08:25:33.842,1722731133842,sell,60656.6,2.0,1213.132,0,-0.1213132
BTC/USDT:USDT,965731192,2024-08-04 16:35:19.247,1722760519247,buy,60536.5,1.0,605.365,31.8211127252520441,-0.0605365
BTC/USDT:USDT,965810117,2024-08-04 19:30:20.817,1722771020817,buy,60970.8,1.0,609.708,27.4781127252520441,-0.0609708
BTC/USDT:USDT,965870203,2024-08-04 21:35:26.961,1722778526961,buy,60886.9,2.0,1217.738,56.6342254505040883,-0.1217738
BTC/USDT:USDT,966164961,2024-08-04 23:45:17.409,1722786317409,buy,59297.1,8.0,4743.768,353.7209018020163532,-0.4743768
BTC/USDT:USDT,966244289,2024-08-05 00:20:17.113,1722788417113,sell,59042.0,2.0,1180.84,0,-0.118084
BTC/USDT:USDT,966650189,2024-08-05 02:25:28.663,1722795928663,sell,58323.0,1.0,583.23,0,-0.058323
BTC/USDT:USDT,966699955,2024-08-05 02:55:32.766,1722797732766,sell,58762.6,1.0,587.626,0,-0.0587626
BTC/USDT:USDT,966909815,2024-08-05 05:31:08.325,1722807068325,sell,58558.3,1.0,585.583,0,-0.0585583
BTC/USDT:USDT,966952659,2024-08-05 06:10:16.916,1722809416916,buy,58839.0,1.0,588.39,26.1914251228647514,-0.058839
BTC/USDT:USDT,967007742,2024-08-05 06:55:14.332,1722812114332,sell,58691.6,1.0,586.916,0,-0.0586916
BTC/USDT:USDT,967118734,2024-08-05 08:15:17.556,1722816917556,buy,57434.7,2.0,1148.694,75.4387729506631843,-0.1148694
BTC/USDT:USDT,967449040,2024-08-05 09:02:09.764,1722819729764,sell,55993.7,1.0,559.937,0,-0.0559937
BTC/USDT:USDT,968002483,2024-08-05 09:20:16.061,1722820816061,buy,54563.2,1.0,545.632,61.2214478277984329,-0.0545632
BTC/USDT:USDT,968225616,2024-08-05 09:41:08.668,1722822068668,sell,54788.4,1.0,547.884,0,-0.0547884
BTC/USDT:USDT,968891790,2024-08-05 13:05:18.269,1722834318269,sell,53078.9,1.0,530.789,0,-0.0530789
BTC/USDT:USDT,970091215,2024-08-05 15:05:15.592,1722841515592,buy,51795.5,1.0,517.955,76.6226391318350815,-0.0517955
BTC/USDT:USDT,970534270,2024-08-05 16:50:23.181,1722847823181,buy,52487.6,1.2,629.8512,83.6419669582020978,-0.06298512
BTC/USDT:USDT,970534271,2024-08-05 16:50:23.181,1722847823181,buy,52487.6,1.8,944.7768,125.4629504373031467,-0.09447768
BTC/USDT:USDT,970844627,2024-08-05 18:30:31.775,1722853831775,buy,51356.6,1.0,513.566,81.0116391318350815,-0.0513566
BTC/USDT:USDT,972505629,2024-08-05 22:05:28.837,1722866728837,sell,53451.9,2.0,1069.038,0,-0.1069038
BTC/USDT:USDT,972994327,2024-08-05 23:00:27.030,1722870027030,buy,54085.6,1.0,540.856,38.7069793488763111,-0.0540856
BTC/USDT:USDT,973294031,2024-08-05 23:55:15.024,1722873315024,buy,54415.5,1.0,544.155,35.4079793488763111,-0.0544155
BTC/USDT:USDT,973548297,2024-08-06 00:50:15.297,1722876615297,buy,54331.1,1.0,543.311,36.2519793488763111,-0.0543311
BTC/USDT:USDT,973714607,2024-08-06 01:45:19.870,1722879919870,buy,54656.5,1.0,546.565,32.9979793488763111,-0.0546565
BTC/USDT:USDT,973882933,2024-08-06 02:45:40.440,1722883540440,buy,53600.2,1.0,536.002,43.5609793488763111,-0.0536002
BTC/USDT:USDT,976042018,2024-08-06 21:30:14.645,1722951014645,buy,55093.2,1.0,550.932,28.6309793488763111,-0.1101864
BTC/USDT:USDT,976520775,2024-08-06 23:15:16.428,1722957316428,buy,56022.9,1.0,560.229,19.3339793488763111,-0.1120458
BTC/USDT:USDT,977491644,2024-08-07 10:05:17.671,1722996317671,buy,56801.3,3.0,1704.039,11.5499793488763111,-0.3408078
BTC/USDT:USDT,977755267,2024-08-07 13:35:14.862,1723008914862,buy,57137.3,2.0,1142.746,0,-0.2285492
BTC/USDT:USDT,978908693,2024-08-08 01:55:14.392,1723053314392,buy,55650.4,1.0,556.504,0,-0.1113008
BTC/USDT:USDT,979076886,2024-08-08 03:15:17.616,1723058117616,sell,55027.7,2.0,1100.554,-33.5564,-0.2201108
BTC/USDT:USDT,979333716,2024-08-08 06:30:15.413,1723069815413,sell,54826.7,1.0,548.267,-18.7882,-0.1096534
BTC/USDT:USDT,979621413,2024-08-08 09:45:16.091,1723081516091,sell,56947.4,2.0,1138.948,4.8376,-0.2277896
BTC/USDT:USDT,979892391,2024-08-08 12:10:16.329,1723090216329,buy,56960.1,1.0,569.601,0,-0.1139202
BTC/USDT:USDT,980094914,2024-08-08 15:46:11.230,1723103171230,buy,57347.1,2.0,1146.942,0,-0.2293884
BTC/USDT:USDT,980316409,2024-08-08 20:20:14.788,1723119614788,buy,57297.7,1.0,572.977,0,-0.1145954
BTC/USDT:USDT,980997123,2024-08-08 23:10:15.263,1723129815263,buy,58994.3,1.0,589.943,0,-0.1179886
BTC/USDT:USDT,981356734,2024-08-09 02:00:20.778,1723140020778,buy,59463.0,1.0,594.63,0,-0.118926
BTC/USDT:USDT,982502635,2024-08-09 16:25:32.522,1723191932522,sell,60861.0,1.0,608.61,29.5945,-0.121722
BTC/USDT:USDT,982872281,2024-08-09 21:40:33.640,1723210833640,sell,59951.4,1.0,599.514,20.4985,-0.1199028
BTC/USDT:USDT,983108571,2024-08-09 22:45:15.680,1723214715680,sell,59863.1,1.0,598.631,19.6155,-0.1197262
BTC/USDT:USDT,984167997,2024-08-10 20:05:24.524,1723291524524,buy,60886.5,1.0,608.865,0,-0.121773
BTC/USDT:USDT,984368849,2024-08-11 02:36:28.382,1723314988382,buy,60950.3,1.0,609.503,0,-0.1219006
BTC/USDT:USDT,984629996,2024-08-11 13:45:16.780,1723355116780,sell,61065.9,1.0,610.659,19.5761,-0.1221318
BTC/USDT:USDT,984684203,2024-08-11 16:10:33.207,1723363833207,buy,61204.4,1.0,612.044,0,-0.1224088
BTC/USDT:USDT,984761682,2024-08-11 17:25:25.231,1723368325231,sell,61504.3,0.2,123.0086,3.953576,-0.02460172
BTC/USDT:USDT,984761683,2024-08-11 17:25:25.247,1723368325247,sell,61504.3,0.8,492.0344,15.814304,-0.09840688
BTC/USDT:USDT,984950354,2024-08-11 20:15:18.844,1723378518844,buy,60261.2,1.0,602.612,0,-0.1205224
BTC/USDT:USDT,985033798,2024-08-11 21:50:15.278,1723384215278,sell,60583.0,1.0,605.83,9.087504,-0.121166
BTC/USDT:USDT,985247190,2024-08-12 01:55:17.817,1723398917817,sell,60316.1,2.3,1387.2703,14.7625592,-0.27745406
BTC/USDT:USDT,985247191,2024-08-12 01:55:17.828,1723398917828,sell,60316.1,0.7,422.2127,4.4929528,-0.08444254
BTC/USDT:USDT,985404956,2024-08-12 04:10:44.076,1723407044076,buy,58973.8,1.0,589.738,0,-0.1179476
BTC/USDT:USDT,985500797,2024-08-12 04:45:16.174,1723409116174,sell,58721.8,1.0,587.218,-6.022248,-0.1174436
BTC/USDT:USDT,985511493,2024-08-12 04:56:04.609,1723409764609,sell,58676.9,1.0,586.769,-6.471248,-0.1173538
BTC/USDT:USDT,985586733,2024-08-12 05:51:10.614,1723413070614,sell,58826.9,1.0,588.269,0,-0.1176538
BTC/USDT:USDT,985933698,2024-08-12 10:45:25.167,1723430725167,sell,58414.9,1.0,584.149,0,-0.1168298
BTC/USDT:USDT,985982193,2024-08-12 11:55:16.749,1723434916749,sell,58509.9,1.0,585.099,0,-0.1170198
BTC/USDT:USDT,986248938,2024-08-12 15:40:31.383,1723448431383,sell,58807.1,1.0,588.071,0,-0.1176142
BTC/USDT:USDT,986401543,2024-08-12 17:25:18.772,1723454718772,sell,58471.3,1.0,584.713,0,-0.1169426
BTC/USDT:USDT,987296820,2024-08-12 23:15:18.661,1723475718661,buy,60146.9,0.4,240.5876,-6.16352,-0.04811752
BTC/USDT:USDT,987296821,2024-08-12 23:15:18.765,1723475718765,buy,60146.9,0.7,421.0283,-10.78616,-0.08420566
BTC/USDT:USDT,987296824,2024-08-12 23:15:19.386,1723475719386,buy,60146.9,0.1,60.1469,-1.54088,-0.01202938
BTC/USDT:USDT,987296825,2024-08-12 23:15:20.063,1723475720063,buy,60146.9,0.8,481.1752,-12.32704,-0.09623504
BTC/USDT:USDT,987871573,2024-08-13 05:35:15.175,1723498515175,sell,58916.9,1.0,589.169,0,-0.1178338
BTC/USDT:USDT,988808144,2024-08-13 22:25:17.130,1723559117130,buy,59406.7,1.0,594.067,-7.2296,-0.1188134
BTC/USDT:USDT,989033646,2024-08-14 00:45:15.627,1723567515627,buy,60707.5,1.0,607.075,-20.2376,-0.121415
BTC/USDT:USDT,989063805,2024-08-14 00:50:19.053,1723567819053,buy,60885.0,1.0,608.85,-22.0126,-0.12177
BTC/USDT:USDT,989115689,2024-08-14 01:05:16.694,1723568716694,buy,61044.5,3.0,1831.335,-23.6076,-0.366267
