Date,PnL
11/1/2022,-0.009380027
11/2/2022,0.005669328
11/3/2022,0
11/4/2022,0.014628385
11/5/2022,0.013651246
11/6/2022,0.002766961
11/7/2022,0.000502053
11/8/2022,0.066352169
11/9/2022,0.027626903
11/10/2022,-0.007064713
11/11/2022,-0.013608127
11/12/2022,0
11/13/2022,0.008683843
11/14/2022,0.035796245
11/15/2022,0.016477877
11/16/2022,-0.008669183
11/17/2022,0
11/18/2022,0.011312541
11/19/2022,0
11/20/2022,0.006084443
11/21/2022,0.005125544
11/22/2022,0
11/23/2022,-0.005561373
11/24/2022,0
11/25/2022,0
11/26/2022,0
11/27/2022,0
11/28/2022,0
11/29/2022,0.005544647
11/30/2022,0.018424204
12/1/2022,-0.008856711
12/2/2022,0
12/3/2022,-0.008346687
12/4/2022,0
12/5/2022,-0.005462143
12/6/2022,0
12/7/2022,-0.010567918
12/8/2022,0.010150844
12/9/2022,0
12/10/2022,0
12/11/2022,0
12/12/2022,0.001189603
12/13/2022,0.008281879
12/14/2022,-0.005737375
12/15/2022,-0.00272624
12/16/2022,0.01417265
12/17/2022,0
12/18/2022,0
12/19/2022,-0.007926229
12/20/2022,-0.000566153
12/21/2022,0
12/22/2022,0.001338932
12/23/2022,0
12/24/2022,0
12/25/2022,0
12/26/2022,-0.001276796
12/27/2022,-0.000447635
12/28/2022,-0.006238963
12/29/2022,0
12/30/2022,-0.002936345
12/31/2022,0
1/1/2023,0
1/2/2023,0.000643614
1/3/2023,-0.004510947
1/4/2023,0.003113315
1/5/2023,0
1/6/2023,-0.006670373
1/7/2023,0
1/8/2023,0.002917201
1/9/2023,-0.000579261
1/10/2023,0.005321192
1/11/2023,0.015012699
1/12/2023,0.032667788
1/13/2023,0
1/14/2023,0.000605107
1/15/2023,0.000272681
1/16/2023,0.005850238
1/17/2023,0
1/18/2023,0.012475254
1/19/2023,-0.006205911
1/20/2023,0.040702851
1/21/2023,-0.002875501
1/22/2023,0.005982691
1/23/2023,-0.003640269
1/24/2023,0
1/25/2023,-4.62E-05
1/26/2023,-0.008136305
1/27/2023,0
1/28/2023,0
1/29/2023,0.00177711
1/30/2023,0.004551367
1/31/2023,0
2/1/2023,0.012824969
2/2/2023,-0.005717762
